time,open,high,low,close,Bullish Research Event,Bearish Research Event,FTHC_EventDateKey,FTHC_EventTimestamp,FTHC_Direction,FTHC_ResearchEvent,FTHC_ProductionSignal,FTHC_ReferencePrice,FTHC_C1_Open,FTHC_C1_High,FTHC_C1_Low,FTHC_C1_Close,FTHC_C1_Volume,FTHC_C1_TR,FTHC_C1_VWAP,FTHC_C2_Open,FTHC_C2_High,FTHC_C2_Low,FTHC_C2_Close,FTHC_C2_Volume,FTHC_C2_TR,FTHC_C2_VWAP,FTHC_C1_RelVol,FTHC_C2_RelVol,FTHC_Combined_RelVol,FTHC_ATR_Selected,FTHC_ATR_PrevDaily,FTHC_ATR_PrevDay1M,FTHC_ATR_Prev5Day1M,FTHC_ATR_First2,FTHC_VWAP_Distance,FTHC_DeltaPct,FTHC_PMH,FTHC_PML,FTHC_PM_Open,FTHC_PM_Last,FTHC_PM_Volume,FTHC_AH_High,FTHC_AH_Low,FTHC_AH_Volume,FTHC_PDH,FTHC_PDL,FTHC_PrevRTHClose,FTHC_Outcome_050v050,FTHC_Outcome_100v050,FTHC_MinutesTo_025,FTHC_MinutesTo_050,FTHC_MinutesTo_075,FTHC_MinutesTo_100,FTHC_MinutesTo_Adverse050,FTHC_Final_MFE,FTHC_Final_MAE,FTHC_CP1_MFE,FTHC_CP1_MAE,FTHC_CP2_MFE,FTHC_CP2_MAE,FTHC_CP3_MFE,FTHC_CP3_MAE,FTHC_CP5_MFE,FTHC_CP5_MAE,FTHC_CP10_MFE,FTHC_CP10_MAE,Volume,Volume MA,FTHS_EventDateKey,FTHS_EventTimestamp,FTHS_Direction,FTHS_CP1_PM_State,FTHS_CP1_AH_State,FTHS_CP1_PD_State,FTHS_CP1_LevelsRetained,FTHS_CP1_MinLevelsRetained,FTHS_CP2_PM_State,FTHS_CP2_AH_State,FTHS_CP2_PD_State,FTHS_CP2_LevelsRetained,FTHS_CP2_MinLevelsRetained,FTHS_CP3_PM_State,FTHS_CP3_AH_State,FTHS_CP3_PD_State,FTHS_CP3_LevelsRetained,FTHS_CP3_MinLevelsRetained,FTHS_CP5_PM_State,FTHS_CP5_AH_State,FTHS_CP5_PD_State,FTHS_CP5_LevelsRetained,FTHS_CP5_MinLevelsRetained,FTHS_CP10_PM_State,FTHS_CP10_AH_State,FTHS_CP10_PD_State,FTHS_CP10_LevelsRetained,FTHS_CP10_MinLevelsRetained,FTHS_CP1_PM_Lost,FTHS_CP1_PM_Reclaimed,FTHS_CP1_AH_Lost,FTHS_CP1_AH_Reclaimed,FTHS_CP1_PD_Lost,FTHS_CP1_PD_Reclaimed,FTHS_CP2_PM_Lost,FTHS_CP2_PM_Reclaimed,FTHS_CP2_AH_Lost,FTHS_CP2_AH_Reclaimed,FTHS_CP2_PD_Lost,FTHS_CP2_PD_Reclaimed,FTHS_CP3_PM_Lost,FTHS_CP3_PM_Reclaimed,FTHS_CP3_AH_Lost,FTHS_CP3_AH_Reclaimed,FTHS_CP3_PD_Lost,FTHS_CP3_PD_Reclaimed,FTHS_CP5_PM_Lost,FTHS_CP5_PM_Reclaimed,FTHS_CP5_AH_Lost,FTHS_CP5_AH_Reclaimed,FTHS_CP5_PD_Lost,FTHS_CP5_PD_Reclaimed,FTHS_CP10_PM_Lost,FTHS_CP10_PM_Reclaimed,FTHS_CP10_AH_Lost,FTHS_CP10_AH_Reclaimed,FTHS_CP10_PD_Lost,FTHS_CP10_PD_Reclaimed,FTHV_EventDateKey,FTHV_EventTimestamp,FTHV_Direction,FTHV_CP1_Open,FTHV_CP1_High,FTHV_CP1_Low,FTHV_CP1_Close,FTHV_CP1_RTH_VWAP,FTHV_CP1_VWAP_State,FTHV_CP1_VWAP_Lost,FTHV_CP1_VWAP_Reclaimed,FTHV_CP1_WrongSideCloseCount,FTHV_CP1_MaxWrongSideStreak,FTHV_Has_CP1,FTHV_CP2_Open,FTHV_CP2_High,FTHV_CP2_Low,FTHV_CP2_Close,FTHV_CP2_RTH_VWAP,FTHV_CP2_VWAP_State,FTHV_CP2_VWAP_Lost,FTHV_CP2_VWAP_Reclaimed,FTHV_CP2_WrongSideCloseCount,FTHV_CP2_MaxWrongSideStreak,FTHV_Has_CP2,FTHV_CP3_Open,FTHV_CP3_High,FTHV_CP3_Low,FTHV_CP3_Close,FTHV_CP3_RTH_VWAP,FTHV_CP3_VWAP_State,FTHV_CP3_VWAP_Lost,FTHV_CP3_VWAP_Reclaimed,FTHV_CP3_WrongSideCloseCount,FTHV_CP3_MaxWrongSideStreak,FTHV_Has_CP3,FTHV_CP5_Open,FTHV_CP5_High,FTHV_CP5_Low,FTHV_CP5_Close,FTHV_CP5_RTH_VWAP,FTHV_CP5_VWAP_State,FTHV_CP5_VWAP_Lost,FTHV_CP5_VWAP_Reclaimed,FTHV_CP5_WrongSideCloseCount,FTHV_CP5_MaxWrongSideStreak,FTHV_Has_CP5,FTHV_CP10_Open,FTHV_CP10_High,FTHV_CP10_Low,FTHV_CP10_Close,FTHV_CP10_RTH_VWAP,FTHV_CP10_VWAP_State,FTHV_CP10_VWAP_Lost,FTHV_CP10_VWAP_Reclaimed,FTHV_CP10_WrongSideCloseCount,FTHV_CP10_MaxWrongSideStreak,FTHV_Has_CP10
1780328400,168.01,168.06,167.85,167.9,0,0,,,0,0,0,,169.09,170.26,168.32,170.01,5714,1.9399999999999977,169.53,170.03,170.24,168.6,168.72,2012,1.6400000000000148,169.4405893519717,1.1372954898292267,0.6790415119811002,0.9672976762820513,0.17829743589743602,5.747625830771196,0.15458974358974356,0.17829743589743602,1.7900000000000063,,,171,166.75,168.85,168.84,4357,168,167.32,254,170.31,167.26,167.45,0,0,,,,,,,,,,,,,,,,,,3498,5260.15,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780328700,167.91,168.05,167.81,167.83,0,0,,,0,0,0,,169.09,170.26,168.32,170.01,5714,1.9399999999999977,169.53,170.03,170.24,168.6,168.72,2012,1.6400000000000148,169.4405893519717,1.1372954898292267,0.6790415119811002,0.9672976762820513,0.17829743589743602,5.747625830771196,0.15458974358974356,0.17829743589743602,1.7900000000000063,,,171,166.75,168.85,168.84,4357,168,167.32,254,170.31,167.26,167.45,0,0,,,,,,,,,,,,,,,,,,3237,5139.3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780329000,167.82,167.95,167.65,167.88,0,0,,,0,0,0,,169.09,170.26,168.32,170.01,5714,1.9399999999999977,169.53,170.03,170.24,168.6,168.72,2012,1.6400000000000148,169.4405893519717,1.1372954898292267,0.6790415119811002,0.9672976762820513,0.17829743589743602,5.747625830771196,0.15458974358974356,0.17829743589743602,1.7900000000000063,,,171,166.75,168.85,168.84,4357,168,167.32,254,170.31,167.26,167.45,0,0,,,,,,,,,,,,,,,,,,4200,5088.65,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780329300,167.88,168.15,167.83,167.97,0,0,,,0,0,0,,169.09,170.26,168.32,170.01,5714,1.9399999999999977,169.53,170.03,170.24,168.6,168.72,2012,1.6400000000000148,169.4405893519717,1.1372954898292267,0.6790415119811002,0.9672976762820513,0.17829743589743602,5.747625830771196,0.15458974358974356,0.17829743589743602,1.7900000000000063,,,171,166.75,168.85,168.84,4357,168,167.32,254,170.31,167.26,167.45,0,0,,,,,,,,,,,,,,,,,,3260,4943,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780329600,167.97,167.97,167.72,167.77,0,0,,,0,0,0,,169.09,170.26,168.32,170.01,5714,1.9399999999999977,169.53,170.03,170.24,168.6,168.72,2012,1.6400000000000148,169.4405893519717,1.1372954898292267,0.6790415119811002,0.9672976762820513,0.17829743589743602,5.747625830771196,0.15458974358974356,0.17829743589743602,1.7900000000000063,,,171,166.75,168.85,168.84,4357,168,167.32,254,170.31,167.26,167.45,0,0,,,,,,,,,,,,,,,,,,2252,4770.5,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780329900,167.75,167.88,167.73,167.78,0,0,,,0,0,0,,169.09,170.26,168.32,170.01,5714,1.9399999999999977,169.53,170.03,170.24,168.6,168.72,2012,1.6400000000000148,169.4405893519717,1.1372954898292267,0.6790415119811002,0.9672976762820513,0.17829743589743602,5.747625830771196,0.15458974358974356,0.17829743589743602,1.7900000000000063,,,171,166.75,168.85,168.84,4357,168,167.32,254,170.31,167.26,167.45,0,0,,,,,,,,,,,,,,,,,,2627,4636.45,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780330200,167.78,167.94,167.66,167.89,0,0,,,0,0,0,,169.09,170.26,168.32,170.01,5714,1.9399999999999977,169.53,170.03,170.24,168.6,168.72,2012,1.6400000000000148,169.4405893519717,1.1372954898292267,0.6790415119811002,0.9672976762820513,0.17829743589743602,5.747625830771196,0.15458974358974356,0.17829743589743602,1.7900000000000063,,,171,166.75,168.85,168.84,4357,168,167.32,254,170.31,167.26,167.45,0,0,,,,,,,,,,,,,,,,,,3214,4384.1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780330500,167.89,167.94,167.68,167.83,0,0,,,0,0,0,,169.09,170.26,168.32,170.01,5714,1.9399999999999977,169.53,170.03,170.24,168.6,168.72,2012,1.6400000000000148,169.4405893519717,1.1372954898292267,0.6790415119811002,0.9672976762820513,0.17829743589743602,5.747625830771196,0.15458974358974356,0.17829743589743602,1.7900000000000063,,,171,166.75,168.85,168.84,4357,168,167.32,254,170.31,167.26,167.45,0,0,,,,,,,,,,,,,,,,,,4614,4248.45,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780330800,167.85,167.95,167.68,167.82,0,0,,,0,0,0,,169.09,170.26,168.32,170.01,5714,1.9399999999999977,169.53,170.03,170.24,168.6,168.72,2012,1.6400000000000148,169.4405893519717,1.1372954898292267,0.6790415119811002,0.9672976762820513,0.17829743589743602,5.747625830771196,0.15458974358974356,0.17829743589743602,1.7900000000000063,,,171,166.75,168.85,168.84,4357,168,167.32,254,170.31,167.26,167.45,0,0,,,,,,,,,,,,,,,,,,3211,4000.2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780331100,167.84,167.93,167.63,167.9,0,0,,,0,0,0,,169.09,170.26,168.32,170.01,5714,1.9399999999999977,169.53,170.03,170.24,168.6,168.72,2012,1.6400000000000148,169.4405893519717,1.1372954898292267,0.6790415119811002,0.9672976762820513,0.17829743589743602,5.747625830771196,0.15458974358974356,0.17829743589743602,1.7900000000000063,,,171,166.75,168.85,168.84,4357,168,167.32,254,170.31,167.26,167.45,0,0,,,,,,,,,,,,,,,,,,2815,3876.5,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780331400,167.9,168.22,167.85,168.19,0,0,,,0,0,0,,169.09,170.26,168.32,170.01,5714,1.9399999999999977,169.53,170.03,170.24,168.6,168.72,2012,1.6400000000000148,169.4405893519717,1.1372954898292267,0.6790415119811002,0.9672976762820513,0.17829743589743602,5.747625830771196,0.15458974358974356,0.17829743589743602,1.7900000000000063,,,171,166.75,168.85,168.84,4357,168,167.32,254,170.31,167.26,167.45,0,0,,,,,,,,,,,,,,,,,,3169,3794.2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780331700,168.19,168.31,168.13,168.215,0,0,,,0,0,0,,169.09,170.26,168.32,170.01,5714,1.9399999999999977,169.53,170.03,170.24,168.6,168.72,2012,1.6400000000000148,169.4405893519717,1.1372954898292267,0.6790415119811002,0.9672976762820513,0.17829743589743602,5.747625830771196,0.15458974358974356,0.17829743589743602,1.7900000000000063,,,171,166.75,168.85,168.84,4357,168,167.32,254,170.31,167.26,167.45,0,0,,,,,,,,,,,,,,,,,,2319,3713.35,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780332000,168.23,168.38,168.07,168.28,0,0,,,0,0,0,,169.09,170.26,168.32,170.01,5714,1.9399999999999977,169.53,170.03,170.24,168.6,168.72,2012,1.6400000000000148,169.4405893519717,1.1372954898292267,0.6790415119811002,0.9672976762820513,0.17829743589743602,5.747625830771196,0.15458974358974356,0.17829743589743602,1.7900000000000063,,,171,166.75,168.85,168.84,4357,168,167.32,254,170.31,167.26,167.45,0,0,,,,,,,,,,,,,,,,,,3529,3665.6,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780332300,168.26,168.32,168.11,168.25,0,0,,,0,0,0,,169.09,170.26,168.32,170.01,5714,1.9399999999999977,169.53,170.03,170.24,168.6,168.72,2012,1.6400000000000148,169.4405893519717,1.1372954898292267,0.6790415119811002,0.9672976762820513,0.17829743589743602,5.747625830771196,0.15458974358974356,0.17829743589743602,1.7900000000000063,,,171,166.75,168.85,168.84,4357,168,167.32,254,170.31,167.26,167.45,0,0,,,,,,,,,,,,,,,,,,2953,3583.75,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
