time,open,high,low,close,Bullish Research Event,Bearish Research Event,FTHC_EventDateKey,FTHC_EventTimestamp,FTHC_Direction,FTHC_ResearchEvent,FTHC_ProductionSignal,FTHC_ReferencePrice,FTHC_C1_Open,FTHC_C1_High,FTHC_C1_Low,FTHC_C1_Close,FTHC_C1_Volume,FTHC_C1_TR,FTHC_C1_VWAP,FTHC_C2_Open,FTHC_C2_High,FTHC_C2_Low,FTHC_C2_Close,FTHC_C2_Volume,FTHC_C2_TR,FTHC_C2_VWAP,FTHC_C1_RelVol,FTHC_C2_RelVol,FTHC_Combined_RelVol,FTHC_ATR_Selected,FTHC_ATR_PrevDaily,FTHC_ATR_PrevDay1M,FTHC_ATR_Prev5Day1M,FTHC_ATR_First2,FTHC_VWAP_Distance,FTHC_DeltaPct,FTHC_PMH,FTHC_PML,FTHC_PM_Open,FTHC_PM_Last,FTHC_PM_Volume,FTHC_AH_High,FTHC_AH_Low,FTHC_AH_Volume,FTHC_PDH,FTHC_PDL,FTHC_PrevRTHClose,FTHC_Outcome_050v050,FTHC_Outcome_100v050,FTHC_MinutesTo_025,FTHC_MinutesTo_050,FTHC_MinutesTo_075,FTHC_MinutesTo_100,FTHC_MinutesTo_Adverse050,FTHC_Final_MFE,FTHC_Final_MAE,FTHC_CP1_MFE,FTHC_CP1_MAE,FTHC_CP2_MFE,FTHC_CP2_MAE,FTHC_CP3_MFE,FTHC_CP3_MAE,FTHC_CP5_MFE,FTHC_CP5_MAE,FTHC_CP10_MFE,FTHC_CP10_MAE,Volume,Volume MA,FTHS_EventDateKey,FTHS_EventTimestamp,FTHS_Direction,FTHS_CP1_PM_State,FTHS_CP1_AH_State,FTHS_CP1_PD_State,FTHS_CP1_LevelsRetained,FTHS_CP1_MinLevelsRetained,FTHS_CP2_PM_State,FTHS_CP2_AH_State,FTHS_CP2_PD_State,FTHS_CP2_LevelsRetained,FTHS_CP2_MinLevelsRetained,FTHS_CP3_PM_State,FTHS_CP3_AH_State,FTHS_CP3_PD_State,FTHS_CP3_LevelsRetained,FTHS_CP3_MinLevelsRetained,FTHS_CP5_PM_State,FTHS_CP5_AH_State,FTHS_CP5_PD_State,FTHS_CP5_LevelsRetained,FTHS_CP5_MinLevelsRetained,FTHS_CP10_PM_State,FTHS_CP10_AH_State,FTHS_CP10_PD_State,FTHS_CP10_LevelsRetained,FTHS_CP10_MinLevelsRetained,FTHS_CP1_PM_Lost,FTHS_CP1_PM_Reclaimed,FTHS_CP1_AH_Lost,FTHS_CP1_AH_Reclaimed,FTHS_CP1_PD_Lost,FTHS_CP1_PD_Reclaimed,FTHS_CP2_PM_Lost,FTHS_CP2_PM_Reclaimed,FTHS_CP2_AH_Lost,FTHS_CP2_AH_Reclaimed,FTHS_CP2_PD_Lost,FTHS_CP2_PD_Reclaimed,FTHS_CP3_PM_Lost,FTHS_CP3_PM_Reclaimed,FTHS_CP3_AH_Lost,FTHS_CP3_AH_Reclaimed,FTHS_CP3_PD_Lost,FTHS_CP3_PD_Reclaimed,FTHS_CP5_PM_Lost,FTHS_CP5_PM_Reclaimed,FTHS_CP5_AH_Lost,FTHS_CP5_AH_Reclaimed,FTHS_CP5_PD_Lost,FTHS_CP5_PD_Reclaimed,FTHS_CP10_PM_Lost,FTHS_CP10_PM_Reclaimed,FTHS_CP10_AH_Lost,FTHS_CP10_AH_Reclaimed,FTHS_CP10_PD_Lost,FTHS_CP10_PD_Reclaimed,FTHV_EventDateKey,FTHV_EventTimestamp,FTHV_Direction,FTHV_CP1_Open,FTHV_CP1_High,FTHV_CP1_Low,FTHV_CP1_Close,FTHV_CP1_RTH_VWAP,FTHV_CP1_VWAP_State,FTHV_CP1_VWAP_Lost,FTHV_CP1_VWAP_Reclaimed,FTHV_CP1_WrongSideCloseCount,FTHV_CP1_MaxWrongSideStreak,FTHV_Has_CP1,FTHV_CP2_Open,FTHV_CP2_High,FTHV_CP2_Low,FTHV_CP2_Close,FTHV_CP2_RTH_VWAP,FTHV_CP2_VWAP_State,FTHV_CP2_VWAP_Lost,FTHV_CP2_VWAP_Reclaimed,FTHV_CP2_WrongSideCloseCount,FTHV_CP2_MaxWrongSideStreak,FTHV_Has_CP2,FTHV_CP3_Open,FTHV_CP3_High,FTHV_CP3_Low,FTHV_CP3_Close,FTHV_CP3_RTH_VWAP,FTHV_CP3_VWAP_State,FTHV_CP3_VWAP_Lost,FTHV_CP3_VWAP_Reclaimed,FTHV_CP3_WrongSideCloseCount,FTHV_CP3_MaxWrongSideStreak,FTHV_Has_CP3,FTHV_CP5_Open,FTHV_CP5_High,FTHV_CP5_Low,FTHV_CP5_Close,FTHV_CP5_RTH_VWAP,FTHV_CP5_VWAP_State,FTHV_CP5_VWAP_Lost,FTHV_CP5_VWAP_Reclaimed,FTHV_CP5_WrongSideCloseCount,FTHV_CP5_MaxWrongSideStreak,FTHV_Has_CP5,FTHV_CP10_Open,FTHV_CP10_High,FTHV_CP10_Low,FTHV_CP10_Close,FTHV_CP10_RTH_VWAP,FTHV_CP10_VWAP_State,FTHV_CP10_VWAP_Lost,FTHV_CP10_VWAP_Reclaimed,FTHV_CP10_WrongSideCloseCount,FTHV_CP10_MaxWrongSideStreak,FTHV_Has_CP10
1780331400,507.21,508.37,507.21,507.7,0,0,,,0,0,0,,500.16,502.87,494.02,495.12,91275,8.850000000000023,497.33666666666664,495.12,500.58,495,498.44,25367,5.579999999999984,497.48237653103797,,,,,26.033560160932634,,,7.215000000000003,,,512.96,487.86,509.92,500.09,293590,,,,,,,0,0,,,,,,,,,,,,,,,,,,16926,32776.4,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780331700,507.7,509.5,507.11,509,0,0,,,0,0,0,,500.16,502.87,494.02,495.12,91275,8.850000000000023,497.33666666666664,495.12,500.58,495,498.44,25367,5.579999999999984,497.48237653103797,,,,,26.033560160932634,,,7.215000000000003,,,512.96,487.86,509.92,500.09,293590,,,,,,,0,0,,,,,,,,,,,,,,,,,,24337,30965.6,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780332000,509.02,509.02,507.71,507.88,0,0,,,0,0,0,,500.16,502.87,494.02,495.12,91275,8.850000000000023,497.33666666666664,495.12,500.58,495,498.44,25367,5.579999999999984,497.48237653103797,,,,,26.033560160932634,,,7.215000000000003,,,512.96,487.86,509.92,500.09,293590,,,,,,,0,0,,,,,,,,,,,,,,,,,,8327,28587.1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780332300,507.86,507.86,506.1,506.95,0,0,,,0,0,0,,500.16,502.87,494.02,495.12,91275,8.850000000000023,497.33666666666664,495.12,500.58,495,498.44,25367,5.579999999999984,497.48237653103797,,,,,26.033560160932634,,,7.215000000000003,,,512.96,487.86,509.92,500.09,293590,,,,,,,0,0,,,,,,,,,,,,,,,,,,23364,27782.85,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780332600,507,510.31,506.72,510.31,0,0,,,0,0,0,,500.16,502.87,494.02,495.12,91275,8.850000000000023,497.33666666666664,495.12,500.58,495,498.44,25367,5.579999999999984,497.48237653103797,,,,,26.033560160932634,,,7.215000000000003,,,512.96,487.86,509.92,500.09,293590,,,,,,,0,0,,,,,,,,,,,,,,,,,,29840,27278.2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780332900,510.27,510.8,509,509.34,0,0,,,0,0,0,,500.16,502.87,494.02,495.12,91275,8.850000000000023,497.33666666666664,495.12,500.58,495,498.44,25367,5.579999999999984,497.48237653103797,,,,,26.033560160932634,,,7.215000000000003,,,512.96,487.86,509.92,500.09,293590,,,,,,,0,0,,,,,,,,,,,,,,,,,,15475,24942.4,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780333200,509.41,509.56,506.85,507.35,0,0,,,0,0,0,,500.16,502.87,494.02,495.12,91275,8.850000000000023,497.33666666666664,495.12,500.58,495,498.44,25367,5.579999999999984,497.48237653103797,,,,,26.033560160932634,,,7.215000000000003,,,512.96,487.86,509.92,500.09,293590,,,,,,,0,0,,,,,,,,,,,,,,,,,,16391,24430.15,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780333500,507.28,508.85,506.51,508.27,0,0,,,0,0,0,,500.16,502.87,494.02,495.12,91275,8.850000000000023,497.33666666666664,495.12,500.58,495,498.44,25367,5.579999999999984,497.48237653103797,,,,,26.033560160932634,,,7.215000000000003,,,512.96,487.86,509.92,500.09,293590,,,,,,,0,0,,,,,,,,,,,,,,,,,,13579,22823.85,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780333800,508.4,509.8,508.2,509.16,0,0,,,0,0,0,,500.16,502.87,494.02,495.12,91275,8.850000000000023,497.33666666666664,495.12,500.58,495,498.44,25367,5.579999999999984,497.48237653103797,,,,,26.033560160932634,,,7.215000000000003,,,512.96,487.86,509.92,500.09,293590,,,,,,,0,0,,,,,,,,,,,,,,,,,,15006,20420.6,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780334100,509.33,510.37,509.03,509.37,0,0,,,0,0,0,,500.16,502.87,494.02,495.12,91275,8.850000000000023,497.33666666666664,495.12,500.58,495,498.44,25367,5.579999999999984,497.48237653103797,,,,,26.033560160932634,,,7.215000000000003,,,512.96,487.86,509.92,500.09,293590,,,,,,,0,0,,,,,,,,,,,,,,,,,,8717,19800.05,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780334400,509.25,510.76,508.99,510.25,0,0,,,0,0,0,,500.16,502.87,494.02,495.12,91275,8.850000000000023,497.33666666666664,495.12,500.58,495,498.44,25367,5.579999999999984,497.48237653103797,,,,,26.033560160932634,,,7.215000000000003,,,512.96,487.86,509.92,500.09,293590,,,,,,,0,0,,,,,,,,,,,,,,,,,,13222,18873.9,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780334700,510.3,512.19,509.73,512.14,0,0,,,0,0,0,,500.16,502.87,494.02,495.12,91275,8.850000000000023,497.33666666666664,495.12,500.58,495,498.44,25367,5.579999999999984,497.48237653103797,,,,,26.033560160932634,,,7.215000000000003,,,512.96,487.86,509.92,500.09,293590,,,,,,,0,0,,,,,,,,,,,,,,,,,,25002,19045.3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780335000,512.07,513.65,510.26,510.93,0,0,,,0,0,0,,500.16,502.87,494.02,495.12,91275,8.850000000000023,497.33666666666664,495.12,500.58,495,498.44,25367,5.579999999999984,497.48237653103797,,,,,26.033560160932634,,,7.215000000000003,,,512.96,487.86,509.92,500.09,293590,,,,,,,0,0,,,,,,,,,,,,,,,,,,18735,19116.25,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780335300,510.93,512.18,510.5,511.46,0,0,,,0,0,0,,500.16,502.87,494.02,495.12,91275,8.850000000000023,497.33666666666664,495.12,500.58,495,498.44,25367,5.579999999999984,497.48237653103797,,,,,26.033560160932634,,,7.215000000000003,,,512.96,487.86,509.92,500.09,293590,,,,,,,0,0,,,,,,,,,,,,,,,,,,8122,17853.2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780335600,511.6,512.3,510.82,511.84,0,0,,,0,0,0,,500.16,502.87,494.02,495.12,91275,8.850000000000023,497.33666666666664,495.12,500.58,495,498.44,25367,5.579999999999984,497.48237653103797,,,,,26.033560160932634,,,7.215000000000003,,,512.96,487.86,509.92,500.09,293590,,,,,,,0,0,,,,,,,,,,,,,,,,,,20496,17724.9,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780335900,511.85,512.9,511.36,512.78,0,0,,,0,0,0,,500.16,502.87,494.02,495.12,91275,8.850000000000023,497.33666666666664,495.12,500.58,495,498.44,25367,5.579999999999984,497.48237653103797,,,,,26.033560160932634,,,7.215000000000003,,,512.96,487.86,509.92,500.09,293590,,,,,,,0,0,,,,,,,,,,,,,,,,,,14936,17484.65,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780336200,512.7,512.91,512.13,512.26,0,0,,,0,0,0,,500.16,502.87,494.02,495.12,91275,8.850000000000023,497.33666666666664,495.12,500.58,495,498.44,25367,5.579999999999984,497.48237653103797,,,,,26.033560160932634,,,7.215000000000003,,,512.96,487.86,509.92,500.09,293590,,,,,,,0,0,,,,,,,,,,,,,,,,,,9572,16744.9,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780336500,512.39,513.89,511.69,513.275,0,0,,,0,0,0,,500.16,502.87,494.02,495.12,91275,8.850000000000023,497.33666666666664,495.12,500.58,495,498.44,25367,5.579999999999984,497.48237653103797,,,,,26.033560160932634,,,7.215000000000003,,,512.96,487.86,509.92,500.09,293590,,,,,,,0,0,,,,,,,,,,,,,,,,,,19294,16649.75,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
