time,open,high,low,close,Bullish Research Event,Bearish Research Event,FTHC_EventDateKey,FTHC_EventTimestamp,FTHC_Direction,FTHC_ResearchEvent,FTHC_ProductionSignal,FTHC_ReferencePrice,FTHC_C1_Open,FTHC_C1_High,FTHC_C1_Low,FTHC_C1_Close,FTHC_C1_Volume,FTHC_C1_TR,FTHC_C1_VWAP,FTHC_C2_Open,FTHC_C2_High,FTHC_C2_Low,FTHC_C2_Close,FTHC_C2_Volume,FTHC_C2_TR,FTHC_C2_VWAP,FTHC_C1_RelVol,FTHC_C2_RelVol,FTHC_Combined_RelVol,FTHC_ATR_Selected,FTHC_ATR_PrevDaily,FTHC_ATR_PrevDay1M,FTHC_ATR_Prev5Day1M,FTHC_ATR_First2,FTHC_VWAP_Distance,FTHC_DeltaPct,FTHC_PMH,FTHC_PML,FTHC_PM_Open,FTHC_PM_Last,FTHC_PM_Volume,FTHC_AH_High,FTHC_AH_Low,FTHC_AH_Volume,FTHC_PDH,FTHC_PDL,FTHC_PrevRTHClose,FTHC_Outcome_050v050,FTHC_Outcome_100v050,FTHC_MinutesTo_025,FTHC_MinutesTo_050,FTHC_MinutesTo_075,FTHC_MinutesTo_100,FTHC_MinutesTo_Adverse050,FTHC_Final_MFE,FTHC_Final_MAE,FTHC_CP1_MFE,FTHC_CP1_MAE,FTHC_CP2_MFE,FTHC_CP2_MAE,FTHC_CP3_MFE,FTHC_CP3_MAE,FTHC_CP5_MFE,FTHC_CP5_MAE,FTHC_CP10_MFE,FTHC_CP10_MAE,Volume,Volume MA,FTHS_EventDateKey,FTHS_EventTimestamp,FTHS_Direction,FTHS_CP1_PM_State,FTHS_CP1_AH_State,FTHS_CP1_PD_State,FTHS_CP1_LevelsRetained,FTHS_CP1_MinLevelsRetained,FTHS_CP2_PM_State,FTHS_CP2_AH_State,FTHS_CP2_PD_State,FTHS_CP2_LevelsRetained,FTHS_CP2_MinLevelsRetained,FTHS_CP3_PM_State,FTHS_CP3_AH_State,FTHS_CP3_PD_State,FTHS_CP3_LevelsRetained,FTHS_CP3_MinLevelsRetained,FTHS_CP5_PM_State,FTHS_CP5_AH_State,FTHS_CP5_PD_State,FTHS_CP5_LevelsRetained,FTHS_CP5_MinLevelsRetained,FTHS_CP10_PM_State,FTHS_CP10_AH_State,FTHS_CP10_PD_State,FTHS_CP10_LevelsRetained,FTHS_CP10_MinLevelsRetained,FTHS_CP1_PM_Lost,FTHS_CP1_PM_Reclaimed,FTHS_CP1_AH_Lost,FTHS_CP1_AH_Reclaimed,FTHS_CP1_PD_Lost,FTHS_CP1_PD_Reclaimed,FTHS_CP2_PM_Lost,FTHS_CP2_PM_Reclaimed,FTHS_CP2_AH_Lost,FTHS_CP2_AH_Reclaimed,FTHS_CP2_PD_Lost,FTHS_CP2_PD_Reclaimed,FTHS_CP3_PM_Lost,FTHS_CP3_PM_Reclaimed,FTHS_CP3_AH_Lost,FTHS_CP3_AH_Reclaimed,FTHS_CP3_PD_Lost,FTHS_CP3_PD_Reclaimed,FTHS_CP5_PM_Lost,FTHS_CP5_PM_Reclaimed,FTHS_CP5_AH_Lost,FTHS_CP5_AH_Reclaimed,FTHS_CP5_PD_Lost,FTHS_CP5_PD_Reclaimed,FTHS_CP10_PM_Lost,FTHS_CP10_PM_Reclaimed,FTHS_CP10_AH_Lost,FTHS_CP10_AH_Reclaimed,FTHS_CP10_PD_Lost,FTHS_CP10_PD_Reclaimed,FTHV_EventDateKey,FTHV_EventTimestamp,FTHV_Direction,FTHV_CP1_Open,FTHV_CP1_High,FTHV_CP1_Low,FTHV_CP1_Close,FTHV_CP1_RTH_VWAP,FTHV_CP1_VWAP_State,FTHV_CP1_VWAP_Lost,FTHV_CP1_VWAP_Reclaimed,FTHV_CP1_WrongSideCloseCount,FTHV_CP1_MaxWrongSideStreak,FTHV_Has_CP1,FTHV_CP2_Open,FTHV_CP2_High,FTHV_CP2_Low,FTHV_CP2_Close,FTHV_CP2_RTH_VWAP,FTHV_CP2_VWAP_State,FTHV_CP2_VWAP_Lost,FTHV_CP2_VWAP_Reclaimed,FTHV_CP2_WrongSideCloseCount,FTHV_CP2_MaxWrongSideStreak,FTHV_Has_CP2,FTHV_CP3_Open,FTHV_CP3_High,FTHV_CP3_Low,FTHV_CP3_Close,FTHV_CP3_RTH_VWAP,FTHV_CP3_VWAP_State,FTHV_CP3_VWAP_Lost,FTHV_CP3_VWAP_Reclaimed,FTHV_CP3_WrongSideCloseCount,FTHV_CP3_MaxWrongSideStreak,FTHV_Has_CP3,FTHV_CP5_Open,FTHV_CP5_High,FTHV_CP5_Low,FTHV_CP5_Close,FTHV_CP5_RTH_VWAP,FTHV_CP5_VWAP_State,FTHV_CP5_VWAP_Lost,FTHV_CP5_VWAP_Reclaimed,FTHV_CP5_WrongSideCloseCount,FTHV_CP5_MaxWrongSideStreak,FTHV_Has_CP5,FTHV_CP10_Open,FTHV_CP10_High,FTHV_CP10_Low,FTHV_CP10_Close,FTHV_CP10_RTH_VWAP,FTHV_CP10_VWAP_State,FTHV_CP10_VWAP_Lost,FTHV_CP10_VWAP_Reclaimed,FTHV_CP10_WrongSideCloseCount,FTHV_CP10_MaxWrongSideStreak,FTHV_Has_CP10
1780328700,96.01,96.01,95.67,95.77,0,0,,,0,0,0,,98.33,98.36,97.78,98.035,3537,0.5799999999999983,98.05833333333332,98.13,98.36,98.04,98.36,527,0.32500000000000284,98.08361999671915,1.0249203129527673,0.4785688339992735,0.8927551513553886,0.0900116002258847,2.5301987968371438,0.0786282051282054,0.0900116002258847,0.45250000000000057,,,99.21,98.24,99.16,98.32,4585,99.23,99.03,271,100.8,98.58,99.135,0,0,,,,,,,,,,,,,,,,,,5363,5726.9,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780329000,95.77,95.91,95.75,95.86,0,0,,,0,0,0,,98.33,98.36,97.78,98.035,3537,0.5799999999999983,98.05833333333332,98.13,98.36,98.04,98.36,527,0.32500000000000284,98.08361999671915,1.0249203129527673,0.4785688339992735,0.8927551513553886,0.0900116002258847,2.5301987968371438,0.0786282051282054,0.0900116002258847,0.45250000000000057,,,99.21,98.24,99.16,98.32,4585,99.23,99.03,271,100.8,98.58,99.135,0,0,,,,,,,,,,,,,,,,,,3523,5591,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780329300,95.87,96.07,95.87,95.9,0,0,,,0,0,0,,98.33,98.36,97.78,98.035,3537,0.5799999999999983,98.05833333333332,98.13,98.36,98.04,98.36,527,0.32500000000000284,98.08361999671915,1.0249203129527673,0.4785688339992735,0.8927551513553886,0.0900116002258847,2.5301987968371438,0.0786282051282054,0.0900116002258847,0.45250000000000057,,,99.21,98.24,99.16,98.32,4585,99.23,99.03,271,100.8,98.58,99.135,0,0,,,,,,,,,,,,,,,,,,3224,5648.65,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780329600,95.89,95.96,95.85,95.89,0,0,,,0,0,0,,98.33,98.36,97.78,98.035,3537,0.5799999999999983,98.05833333333332,98.13,98.36,98.04,98.36,527,0.32500000000000284,98.08361999671915,1.0249203129527673,0.4785688339992735,0.8927551513553886,0.0900116002258847,2.5301987968371438,0.0786282051282054,0.0900116002258847,0.45250000000000057,,,99.21,98.24,99.16,98.32,4585,99.23,99.03,271,100.8,98.58,99.135,0,0,,,,,,,,,,,,,,,,,,5195,5732.45,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780329900,95.89,95.965,95.76,95.94,0,0,,,0,0,0,,98.33,98.36,97.78,98.035,3537,0.5799999999999983,98.05833333333332,98.13,98.36,98.04,98.36,527,0.32500000000000284,98.08361999671915,1.0249203129527673,0.4785688339992735,0.8927551513553886,0.0900116002258847,2.5301987968371438,0.0786282051282054,0.0900116002258847,0.45250000000000057,,,99.21,98.24,99.16,98.32,4585,99.23,99.03,271,100.8,98.58,99.135,0,0,,,,,,,,,,,,,,,,,,3698,5464.8,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780330200,95.92,96.02,95.8,95.895,0,0,,,0,0,0,,98.33,98.36,97.78,98.035,3537,0.5799999999999983,98.05833333333332,98.13,98.36,98.04,98.36,527,0.32500000000000284,98.08361999671915,1.0249203129527673,0.4785688339992735,0.8927551513553886,0.0900116002258847,2.5301987968371438,0.0786282051282054,0.0900116002258847,0.45250000000000057,,,99.21,98.24,99.16,98.32,4585,99.23,99.03,271,100.8,98.58,99.135,0,0,,,,,,,,,,,,,,,,,,3088,5217.85,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780330500,95.89,96,95.79,95.85,0,0,,,0,0,0,,98.33,98.36,97.78,98.035,3537,0.5799999999999983,98.05833333333332,98.13,98.36,98.04,98.36,527,0.32500000000000284,98.08361999671915,1.0249203129527673,0.4785688339992735,0.8927551513553886,0.0900116002258847,2.5301987968371438,0.0786282051282054,0.0900116002258847,0.45250000000000057,,,99.21,98.24,99.16,98.32,4585,99.23,99.03,271,100.8,98.58,99.135,0,0,,,,,,,,,,,,,,,,,,2261,5049.1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780330800,95.85,96.02,95.82,95.96,0,0,,,0,0,0,,98.33,98.36,97.78,98.035,3537,0.5799999999999983,98.05833333333332,98.13,98.36,98.04,98.36,527,0.32500000000000284,98.08361999671915,1.0249203129527673,0.4785688339992735,0.8927551513553886,0.0900116002258847,2.5301987968371438,0.0786282051282054,0.0900116002258847,0.45250000000000057,,,99.21,98.24,99.16,98.32,4585,99.23,99.03,271,100.8,98.58,99.135,0,0,,,,,,,,,,,,,,,,,,2312,4779,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780331100,95.95,95.97,95.85,95.91,0,0,,,0,0,0,,98.33,98.36,97.78,98.035,3537,0.5799999999999983,98.05833333333332,98.13,98.36,98.04,98.36,527,0.32500000000000284,98.08361999671915,1.0249203129527673,0.4785688339992735,0.8927551513553886,0.0900116002258847,2.5301987968371438,0.0786282051282054,0.0900116002258847,0.45250000000000057,,,99.21,98.24,99.16,98.32,4585,99.23,99.03,271,100.8,98.58,99.135,0,0,,,,,,,,,,,,,,,,,,4659,4543.7,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780331400,95.9,96.04,95.9,96.04,0,0,,,0,0,0,,98.33,98.36,97.78,98.035,3537,0.5799999999999983,98.05833333333332,98.13,98.36,98.04,98.36,527,0.32500000000000284,98.08361999671915,1.0249203129527673,0.4785688339992735,0.8927551513553886,0.0900116002258847,2.5301987968371438,0.0786282051282054,0.0900116002258847,0.45250000000000057,,,99.21,98.24,99.16,98.32,4585,99.23,99.03,271,100.8,98.58,99.135,0,0,,,,,,,,,,,,,,,,,,2567,4406.3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780331700,96.08,96.12,96.03,96.07,0,0,,,0,0,0,,98.33,98.36,97.78,98.035,3537,0.5799999999999983,98.05833333333332,98.13,98.36,98.04,98.36,527,0.32500000000000284,98.08361999671915,1.0249203129527673,0.4785688339992735,0.8927551513553886,0.0900116002258847,2.5301987968371438,0.0786282051282054,0.0900116002258847,0.45250000000000057,,,99.21,98.24,99.16,98.32,4585,99.23,99.03,271,100.8,98.58,99.135,0,0,,,,,,,,,,,,,,,,,,4743,4284.85,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780332000,96.08,96.16,96.045,96.055,0,0,,,0,0,0,,98.33,98.36,97.78,98.035,3537,0.5799999999999983,98.05833333333332,98.13,98.36,98.04,98.36,527,0.32500000000000284,98.08361999671915,1.0249203129527673,0.4785688339992735,0.8927551513553886,0.0900116002258847,2.5301987968371438,0.0786282051282054,0.0900116002258847,0.45250000000000057,,,99.21,98.24,99.16,98.32,4585,99.23,99.03,271,100.8,98.58,99.135,0,0,,,,,,,,,,,,,,,,,,5578,4188.2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780332300,96.06,96.13,96.01,96.09,0,0,,,0,0,0,,98.33,98.36,97.78,98.035,3537,0.5799999999999983,98.05833333333332,98.13,98.36,98.04,98.36,527,0.32500000000000284,98.08361999671915,1.0249203129527673,0.4785688339992735,0.8927551513553886,0.0900116002258847,2.5301987968371438,0.0786282051282054,0.0900116002258847,0.45250000000000057,,,99.21,98.24,99.16,98.32,4585,99.23,99.03,271,100.8,98.58,99.135,0,0,,,,,,,,,,,,,,,,,,3661,4002.1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
